id	Marque	Immatriculation	Annee	Km	Prix
1	MAZDA	1245TG	2019	123456	25490
2	MERCEDES BENZ	5678CI	2016	56789	18600
3	BMW	4578CA	2020	425267	34290
4	TOYOTA YARIS	3456GH	2023	4252675	12000
5	TOYOTA COROLA	45678FR	2021	565788	8600
6	PORCHE 	32145TG	2023	345268	102000
7	PORCHE 911 GT3	34557BN	2024	3452687	558888
8	RENAULT ZOE	90878CA	2022	90870	24200
9	PEUGEOT E-208	678905FR	2020	234567	32700
10	TESLA MODEL 3	564657RS	2019	435678	49600
11	HONDA	456789TZ	2017	835678	23100
12	HYUNDAI KONA	454897TY	2021	768990	35100
